zipcode,zone,trange,zonetitle
99762,3b,-35 to -30,3b: -35 to -30
99763,2b,-45 to -40,2b: -45 to -40
99764,1b,-55 to -50,1b: -55 to -50
99765,1b,-55 to -50,1b: -55 to -50
99766,3a,-40 to -35,3a: -40 to -35
99767,1b,-55 to -50,1b: -55 to -50
99768,2a,-50 to -45,2a: -50 to -45
99769,4a,-30 to -25,4a: -30 to -25
99770,2a,-50 to -45,2a: -50 to -45
99771,3a,-40 to -35,3a: -40 to -35
99772,3b,-35 to -30,3b: -35 to -30
99773,1b,-55 to -50,1b: -55 to -50
99774,1b,-55 to -50,1b: -55 to -50
99775,2a,-50 to -45,2a: -50 to -45
99776,1a, < -100,1a: < -55
99777,1b,-55 to -50,1b: -55 to -50
99778,3a,-40 to -35,3a: -40 to -35
99780,1a, < -100,1a: < -55
99781,2a,-50 to -45,2a: -50 to -45
99782,2a,-50 to -45,2a: -50 to -45
99783,3b,-35 to -30,3b: -35 to -30
99784,3a,-40 to -35,3a: -40 to -35
99785,3a,-40 to -35,3a: -40 to -35
99786,1a, < -100,1a: < -55
99788,1a, < -100,1a: < -55
99789,2a,-50 to -45,2a: -50 to -45
99790,2a,-50 to -45,2a: -50 to -45
99791,1b,-55 to -50,1b: -55 to -50
99801,6b,-5 to 0,6b: -5 to 0
99802,7a,0 to 5,7a: 0 to 5
99803,7a,0 to 5,7a: 0 to 5
99811,7a,0 to 5,7a: 0 to 5
99812,7a,0 to 5,7a: 0 to 5
99820,7b,5 to 10,7b: 5 to 10
99821,7a,0 to 5,7a: 0 to 5
99824,7a,0 to 5,7a: 0 to 5
99825,7b,5 to 10,7b: 5 to 10
99826,6b,-5 to 0,6b: -5 to 0
99827,6a,-10 to -5,6a: -10 to -5
99829,7b,5 to 10,7b: 5 to 10
99830,7b,5 to 10,7b: 5 to 10
99832,7b,5 to 10,7b: 5 to 10
99833,7a,0 to 5,7a: 0 to 5
99835,8a,10 to 15,8a: 10 to 15
99836,8a,10 to 15,8a: 10 to 15
99840,6a,-10 to -5,6a: -10 to -5
99841,7a,0 to 5,7a: 0 to 5
99850,7a,0 to 5,7a: 0 to 5
99901,7b,5 to 10,7b: 5 to 10
99903,7b,5 to 10,7b: 5 to 10
99918,7b,5 to 10,7b: 5 to 10
99919,7b,5 to 10,7b: 5 to 10
99921,7b,5 to 10,7b: 5 to 10
99922,7b,5 to 10,7b: 5 to 10
99923,6b,-5 to 0,6b: -5 to 0
99925,7b,5 to 10,7b: 5 to 10
99926,8a,10 to 15,8a: 10 to 15
99927,7b,5 to 10,7b: 5 to 10
99928,7b,5 to 10,7b: 5 to 10
99929,7b,5 to 10,7b: 5 to 10
99950,7b,5 to 10,7b: 5 to 10
